cd_cvm,year_prev,year_curr,cosine_similarity,ticker,window_start,window_end,stock_return,ar_market_adjusted,alpha_i,beta_mkt,beta_smb,beta_hml,beta_mom,n_est_obs,n_event_days,alpha_ar_sum,alpha_ar_compound
2437,2021,2022,0.902,AXIA3,2023-03-13,2024-03-18,0.2997804954531202,0.068666204485662,0.0001243124547966298,1.0662893526058561,-0.12601102257464092,0.3179959052369679,-0.10219175885957855,252,253,-0.06368801427529942,-0.08580191330556175
2437,2022,2023,0.8666,AXIA3,2024-05-14,2025-05-19,0.1035564853556485,0.0170227920242065,-0.0006763485355090245,1.2762724121126536,-0.07651953892355756,0.3246733346133158,-0.056139488803647095,252,253,0.1777497542215413,0.17515675334558534
2437,2023,2024,0.8724,AXIA3,2025-03-17,2026-03-19,0.7963813569051086,0.418523345116732,-0.00028733585149341576,1.1064822271157213,0.13135101161029203,0.15004463434239093,0.0014864615855855329,252,253,0.37716655061282245,0.39399483382251765
2453,2015,2016,0.9798,CMIG4,2017-04-11,2018-04-20,-0.1208465679997133,-0.4500940686519062,-0.00045197532776599454,1.2254518853827086,0.16855175869732125,0.7347178964904671,0.25121283959206137,252,253,-0.40189167317533486,-0.36219742701373103
2453,2016,2017,0.9651,CMIG4,2018-03-29,2019-04-09,0.6436915887906693,0.5156981684933035,-0.002344777539757358,1.4254078684508338,-0.04793976231118435,0.6703634500228814,0.32832381040479786,252,253,0.894914738763269,1.3157113341912727
2453,2017,2018,0.9727,CMIG4,2019-04-01,2020-04-03,-0.4276457884135006,-0.1515847626099069,0.001305055229989627,1.2851268794752566,-0.08586476400346575,0.38798438292932086,-0.7575957868460925,252,253,-0.37173660869769964,-0.3373674047505201
2453,2018,2019,0.9777,CMIG4,2020-04-01,2021-04-09,0.5536687995806324,-0.1044314079815058,-0.0007738804313919749,0.9748360890760379,-0.07830610987388109,0.3178348522486213,0.15952703719340183,252,253,0.09407519666080656,0.04852025496422363
2453,2019,2020,0.9624,CMIG4,2021-03-30,2022-04-04,0.3069675229082971,0.2690569323178402,-0.00047145432152413203,1.1011895879006857,0.07684248101447994,0.3226790061063206,-0.11411038548288405,252,253,0.35284749903856816,0.3868497627593859
2453,2020,2021,0.9734,CMIG4,2022-03-29,2023-03-30,0.0078551913406093,0.1436784862065405,0.0012664849394215469,0.9009811250400132,-0.09429510864645681,0.35642957330156266,-0.42809245159076137,252,253,-0.07632595910052106,-0.1049992626695524
2453,2021,2022,0.9772,CMIG4,2023-03-27,2024-04-02,0.164370982560474,-0.1153312201079794,0.000338946465741888,1.251335654714466,-0.1938039918712731,0.6547097455659363,0.05528964385433273,252,253,-0.41317863046635017,-0.35769713298169725
